Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 09:43:24.329581	1.0	4.6	0	0.7	4	0.004	0.0
2022-05-31 09:43:25.332157	2.0	5.9	0	0.7	5	0.099	0.0
2022-05-31 09:43:26.335756	3.0	7.0	1	0.8	5	0.198	0.0
2022-05-31 09:43:27.339419	4.0	7.8	1	0.8	5	0.367	0.001
2022-05-31 09:43:28.343051	5.0	9.0	0	0.8	5	0.479	0.001
2022-05-31 09:43:29.346840	6.0	10.2	0	0.8	5	0.595	0.001
2022-05-31 09:43:30.350508	7.0	10.6	1	0.8	5	0.775	0.001
2022-05-31 09:43:31.354123	8.0	11.3	0	0.8	5	0.874	0.002
2022-05-31 09:43:32.357728	9.0	12.0	1	0.8	5	0.958	0.002
2022-05-31 09:43:33.361433	10.0	13.0	1	1.0	6	0.97	0.002
2022-05-31 09:43:34.364574	11.0	14.0	0	1.1	7	0.97	0.002
2022-05-31 09:43:35.372542	12.0	14.0	0	0.8	5	0.971	0.002
