Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-26 12:19:37.592470	1.0	4.6	0	0.3	2	0.021	0.0
2022-05-26 12:19:38.690633	2.1	4.6	3	0.3	2	0.022	0.0
2022-05-26 12:19:40.380896	3.8	4.6	3	0.3	2	0.023	0.0
2022-05-26 12:19:42.719737	6.1	4.7	1	0.3	2	0.023	0.0
2022-05-26 12:19:43.885030	7.3	4.7	4	0.3	2	0.024	0.0
2022-05-26 12:19:44.888548	8.3	5.7	4	0.7	4	0.026	0.0
2022-05-26 12:19:45.891436	9.3	6.0	0	0.7	5	0.036	0.0
2022-05-26 12:19:46.895058	10.3	6.0	0	0.7	5	0.036	0.0
2022-05-26 12:19:47.899167	11.3	6.0	0	0.7	5	0.049	0.0
2022-05-26 12:19:48.902785	12.3	6.0	0	0.7	5	0.065	0.0
2022-05-26 12:19:49.905685	13.3	6.1	2	0.7	5	0.07	0.0
2022-05-26 12:19:50.909524	14.3	6.1	0	0.7	5	0.076	0.0
2022-05-26 12:19:51.913960	15.3	6.1	0	0.7	5	0.081	0.0
2022-05-26 12:19:52.917837	16.3	6.1	0	0.7	5	0.086	0.0
2022-05-26 12:19:53.921564	17.3	6.1	0	0.7	5	0.086	0.0
2022-05-26 12:19:54.925669	18.3	6.1	0	0.7	5	0.086	0.0
2022-05-26 12:19:55.929286	19.4	6.2	1	0.7	5	0.086	0.0
2022-05-26 12:19:56.933000	20.4	6.2	0	0.7	5	0.088	0.0
2022-05-26 12:19:57.936342	21.4	6.2	0	0.7	5	0.092	0.0
2022-05-26 12:19:58.939567	22.4	6.2	1	0.7	5	0.092	0.0
2022-05-26 12:19:59.943901	23.4	6.2	0	0.7	5	0.097	0.0
2022-05-26 12:20:00.947373	24.4	6.3	0	0.7	5	0.112	0.0
2022-05-26 12:20:01.951332	25.4	6.3	1	0.7	5	0.118	0.0
2022-05-26 12:20:02.955516	26.4	6.3	0	0.7	5	0.118	0.0
2022-05-26 12:20:03.959278	27.4	6.3	1	0.7	5	0.118	0.0
2022-05-26 12:20:04.963050	28.4	6.3	0	0.7	5	0.118	0.0
2022-05-26 12:20:05.967114	29.4	6.3	0	0.7	5	0.119	0.0
2022-05-26 12:20:06.972274	30.4	6.3	1	0.7	5	0.12	0.0
2022-05-26 12:20:07.975461	31.4	6.4	1	0.7	5	0.128	0.0
2022-05-26 12:20:08.980086	32.4	6.4	0	0.7	5	0.138	0.0
2022-05-26 12:20:09.984784	33.4	6.4	0	0.7	5	0.142	0.0
2022-05-26 12:20:10.987832	34.4	6.4	0	0.7	5	0.149	0.0
2022-05-26 12:20:11.991735	35.4	6.5	1	0.7	5	0.154	0.0
2022-05-26 12:20:12.995516	36.4	6.5	0	0.7	5	0.154	0.0
2022-05-26 12:20:13.999397	37.4	6.5	0	0.7	5	0.154	0.0
2022-05-26 12:20:15.002731	38.4	6.5	0	0.7	5	0.156	0.0
2022-05-26 12:20:16.007238	39.4	6.5	1	0.7	5	0.161	0.0
2022-05-26 12:20:17.011647	40.4	6.5	1	0.7	5	0.162	0.0
2022-05-26 12:20:18.015865	41.4	6.6	0	0.7	5	0.172	0.0
2022-05-26 12:20:19.020028	42.4	6.6	0	0.7	5	0.184	0.0
2022-05-26 12:20:20.023091	43.4	6.6	1	0.7	5	0.19	0.0
2022-05-26 12:20:21.026833	44.4	6.6	0	0.7	5	0.19	0.0
2022-05-26 12:20:22.030652	45.5	6.7	1	0.7	5	0.191	0.0
2022-05-26 12:20:23.034574	46.5	6.7	0	0.7	5	0.197	0.0
2022-05-26 12:20:24.037495	47.5	6.7	0	0.7	5	0.202	0.0
2022-05-26 12:20:25.042049	48.5	6.8	0	0.7	5	0.208	0.0
2022-05-26 12:20:26.045530	49.5	7.0	1	0.7	5	0.208	0.0
2022-05-26 12:20:27.050222	50.5	7.3	0	0.7	5	0.226	0.0
2022-05-26 12:20:28.054035	51.5	7.4	1	0.7	5	0.248	0.0
2022-05-26 12:20:29.056827	52.5	7.4	0	0.7	5	0.248	0.0
2022-05-26 12:20:30.061954	53.5	7.4	0	0.7	5	0.288	0.0
2022-05-26 12:20:31.065816	54.5	7.7	1	0.8	5	0.319	0.001
2022-05-26 12:20:32.069658	55.5	7.8	0	0.8	5	0.32	0.001
2022-05-26 12:20:33.073300	56.5	7.8	0	0.8	5	0.32	0.001
2022-05-26 12:20:34.076431	57.5	7.8	1	0.8	5	0.32	0.001
2022-05-26 12:20:35.080065	58.5	7.8	0	0.8	5	0.32	0.001
2022-05-26 12:20:36.083889	59.5	7.8	0	0.8	5	0.32	0.001
2022-05-26 12:20:37.087590	60.5	7.8	0	0.8	5	0.32	0.001
2022-05-26 12:20:38.091504	61.5	8.7	0	0.8	5	0.321	0.001
2022-05-26 12:20:39.095564	62.5	8.9	2	0.8	5	0.361	0.001
2022-05-26 12:20:40.098986	63.5	9.0	0	0.8	5	0.377	0.001
2022-05-26 12:20:41.102157	64.5	9.0	0	0.8	5	0.4	0.001
2022-05-26 12:20:42.106239	65.5	9.0	0	0.8	5	0.412	0.001
2022-05-26 12:20:43.110318	66.5	9.1	1	0.8	5	0.429	0.001
2022-05-26 12:20:44.113249	67.5	9.3	0	0.8	5	0.439	0.001
2022-05-26 12:20:45.117027	68.5	9.6	0	0.8	5	0.447	0.001
2022-05-26 12:20:46.120482	69.5	9.7	1	0.8	5	0.451	0.001
2022-05-26 12:20:47.124179	70.5	9.7	0	0.8	5	0.451	0.001
2022-05-26 12:20:48.127049	71.5	9.7	1	0.8	5	0.453	0.001
2022-05-26 12:20:49.130939	72.6	9.7	0	0.8	5	0.457	0.001
2022-05-26 12:20:50.134606	73.6	9.7	0	0.8	5	0.464	0.001
2022-05-26 12:20:51.137866	74.6	9.7	0	0.8	5	0.467	0.001
2022-05-26 12:20:52.141888	75.6	9.8	1	0.8	5	0.469	0.001
2022-05-26 12:20:53.144688	76.6	9.8	0	0.8	5	0.469	0.001
2022-05-26 12:20:54.148545	77.6	9.8	0	0.8	5	0.471	0.001
2022-05-26 12:20:55.152457	78.6	9.8	1	0.8	5	0.475	0.001
2022-05-26 12:20:56.156441	79.6	9.8	0	0.8	5	0.483	0.001
2022-05-26 12:20:57.160493	80.6	9.8	0	0.8	5	0.485	0.001
2022-05-26 12:20:58.164370	81.6	9.8	0	0.8	5	0.485	0.001
2022-05-26 12:20:59.169014	82.6	9.9	0	0.8	5	0.496	0.001
2022-05-26 12:21:00.173533	83.6	10.0	2	0.8	5	0.51	0.001
2022-05-26 12:21:01.178079	84.6	10.0	0	0.7	5	0.519	0.001
2022-05-26 12:21:02.183177	85.6	10.0	0	0.7	5	0.525	0.001
2022-05-26 12:21:03.187139	86.6	10.0	1	0.7	5	0.528	0.001
2022-05-26 12:21:04.190827	87.6	10.0	0	0.7	5	0.528	0.001
2022-05-26 12:21:05.194552	88.6	10.0	0	0.7	5	0.528	0.001
2022-05-26 12:21:06.198334	89.6	10.0	1	0.7	5	0.528	0.001
2022-05-26 12:21:07.201349	90.6	10.1	0	0.7	5	0.531	0.001
2022-05-26 12:21:08.204765	91.6	10.1	1	0.7	5	0.537	0.001
2022-05-26 12:21:09.208624	92.6	10.1	0	0.7	5	0.539	0.001
2022-05-26 12:21:10.212297	93.6	10.1	0	0.7	5	0.539	0.001
2022-05-26 12:21:11.216638	94.6	10.1	0	0.7	5	0.544	0.001
2022-05-26 12:21:12.220413	95.6	10.1	0	0.7	5	0.55	0.001
2022-05-26 12:21:13.224749	96.6	10.2	1	0.7	5	0.56	0.001
2022-05-26 12:21:14.227749	97.7	10.2	0	0.7	5	0.57	0.001
2022-05-26 12:21:15.231755	98.7	10.2	0	0.7	5	0.581	0.001
2022-05-26 12:21:16.235666	99.7	10.3	1	0.7	5	0.585	0.001
2022-05-26 12:21:17.239409	100.7	10.3	0	0.7	5	0.586	0.001
2022-05-26 12:21:18.243017	101.7	10.3	0	0.7	5	0.586	0.001
2022-05-26 12:21:19.246922	102.7	10.8	0	0.7	5	0.586	0.001
2022-05-26 12:21:20.249919	103.7	10.8	1	0.7	5	0.622	0.001
2022-05-26 12:21:21.253901	104.7	10.9	1	0.7	5	0.634	0.001
2022-05-26 12:21:22.257856	105.7	10.9	0	0.7	5	0.657	0.001
2022-05-26 12:21:23.261698	106.7	10.9	0	0.7	5	0.657	0.001
2022-05-26 12:21:24.266990	107.7	10.9	0	0.7	5	0.659	0.001
2022-05-26 12:21:25.271026	108.7	10.9	1	0.7	5	0.681	0.001
2022-05-26 12:21:26.273819	109.7	11.0	1	0.7	5	0.682	0.001
2022-05-26 12:21:27.277062	110.7	11.3	1	0.7	5	0.682	0.001
2022-05-26 12:21:28.280501	111.7	11.5	0	0.7	5	0.706	0.001
2022-05-26 12:21:29.284841	112.7	11.6	0	0.7	5	0.754	0.001
2022-05-26 12:21:30.288565	113.7	11.6	0	0.7	5	0.774	0.001
2022-05-26 12:21:31.292476	114.7	11.6	1	0.7	5	0.784	0.001
2022-05-26 12:21:32.295631	115.7	11.7	0	0.7	5	0.793	0.001
2022-05-26 12:21:33.299592	116.7	11.7	0	0.7	5	0.794	0.001
