,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,mean,min,max
1975-01-02,0.0,0.0,0.051624,0.0,0.0779982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08798689999999999,0.0,0.0,0.0831857,0.018799675000000002,0.0,0.08798689999999999
1975-01-03,0.0,0.0,0.026947728000000004,0.0,0.024491434799999993,0.0,0.0,0.00016148530934281593,0.0,0.0,0.0,0.0,0.02560418790000001,0.00010195831666667787,0.0,0.017219439899999994,0.005907889639125593,0.0,0.026947728000000004
1975-01-04,0.0,0.0,0.014066714016000001,0.0,0.007690310527199999,0.0,0.0,0.0002666645958257347,1.429782157732119e-06,0.0,0.0,3.2266303114105926e-08,0.007450818678900004,0.00011956679631307162,7.211442275154625e-08,0.003564424059299998,0.0020725020522764006,0.0,0.014066714016000001
1975-01-05,0.00032829720233551457,0.0,0.0073428247163520016,0.0,0.003642279074498766,0.0,0.0,0.0006267286973020896,3.043395947676794e-05,0.0,0.0,9.96285681913007e-08,0.0021681882355599016,0.00032341597271603713,5.3260731904418774e-08,0.0007378357802750997,0.000950009782988517,0.0,0.0073428247163520016
1975-01-06,0.00012639442289917311,0.0,0.0038329545019357447,0.0,0.0012106625422424497,0.0,0.0,0.0006897665473559302,5.2275668120119996e-05,0.0,0.0,7.981318440771617e-08,0.0006309427765479314,0.00023693553432133313,3.9365221530711434e-08,0.00015273200651694558,0.0004332989486465979,0.0,0.0038329545019357447
1975-01-07,4.866185281618165e-05,0.0,0.002000802250010459,0.0,0.0003801480382641292,0.0,0.0,0.0005662983353792187,2.8150182541344104e-05,0.0,0.0,6.401791096736429e-08,0.00018360434797544807,8.19937662837692e-05,2.9123889647713172e-08,3.161552534900774e-05,0.00020758546502626078,0.0,0.002000802250010459
1975-01-08,0.0005334272346612488,0.0,0.0010444187745054596,0.0,0.0011080617048534716,0.0,0.0,0.0009240477153909968,0.0002392459592981803,0.0,0.0,1.978180780166967e-05,5.3428865260855414e-05,0.0003939783122031575,2.1575685490089938e-08,6.547534590052565e-06,0.00027018496776566136,0.0,0.0011080617048534716
1975-01-09,0.00020536948534458077,0.0,0.0005451866002918499,0.0,0.00034923308265686986,0.0,0.0,0.0007587541881913918,0.00012875179796530568,0.0,0.0,1.584274982954163e-05,1.5547799790908925e-05,0.00013942176152985307,1.6012321895563278e-08,1.3553596007836105e-06,0.00013496742734518628,0.0,0.0007587541881913918
1975-01-10,7.906725185766361e-05,0.0,0.0002845874053523456,0.0,0.00011094125719535453,0.0,2.7934067966185285e-16,0.0006230474543930389,6.995918296073693e-05,3.685548813803193e-15,0.0,1.2702873879408848e-05,4.524409739154498e-06,5.2826555009027735e-05,1.1911794856388082e-08,2.8057928226388663e-07,7.73718050917385e-05,0.0,0.0006230474543930389
1975-01-11,3.0440891965200488e-05,1.7046171241303313e-15,0.00014855462559392442,0.0,3.60982751377619e-05,3.715204359442478e-16,1.4287853303206246e-16,0.0005116314828815661,3.867184620202067e-05,9.503779024936774e-15,1.2446241152279234e-15,1.019994717682056e-05,1.3166032342223249e-06,2.3338590775333787e-05,8.889365602537436e-09,5.8099645588584236e-08,5.0019953249438054e-05,0.0,0.0005116314828815661
1975-01-12,1.171974340660219e-05,1.2856879393367296e-16,7.754551456002854e-05,0.0,1.25784744036407e-05,2.887184009299164e-16,6.373066242235292e-17,0.00042015823155763695,2.201735702969638e-05,2.202694918647312e-15,2.7330821895188447e-16,8.204670242784567e-06,3.8313154116446314e-07,1.3267469335199618e-05,6.661500873010817e-09,1.204624226767689e-08,3.53683312389282e-05,0.0,0.00042015823155763695
1975-01-13,4.5121012115418425e-06,4.307965301775346e-17,4.0478758600334894e-05,0.0,5.1744516692628785e-06,2.251070903259655e-16,3.288816281325229e-17,0.0003450579584777457,1.3147606192116036e-05,6.031624834895337e-16,6.636812185029421e-17,6.613992796500459e-06,1.1149127848457975e-07,9.798454448361299e-06,5.01923118871357e-09,2.5130800358569393e-09,2.655639668665893e-05,0.0,0.0003450579584777457
1975-01-14,1.7371589664436097e-06,3.8085911117877505e-17,2.1129911989374817e-05,0.0,2.8311184172736193e-06,1.7623437925356503e-16,2.083683168924013e-17,0.00028339990608835077,8.419414079704402e-06,2.522742506742685e-16,2.2240398533186542e-17,5.345784838448951e-06,3.2443962044688966e-08,8.574535756188104e-06,3.808546805872846e-09,5.396088189874766e-10,2.0717163890872724e-05,0.0,0.00028339990608835077
1975-01-15,6.688062020807897e-07,3.744509460471562e-17,1.1029814058453655e-05,0.0,2.077199031483436e-06,1.38681046201204e-16,1.609566127860876e-17,0.00023277792294311452,5.8946220972282824e-06,1.748447158968934e-16,1.279205911079996e-17,4.3345896709723955e-06,9.441192960636829e-09,8.11432915957858e-06,2.9159432279431305e-09,1.309950657236483e-10,1.655686070590911e-05,0.0,0.00023277792294311452
1975-01-16,0.10795360464207872,0.1763399572787106,0.13548723170399876,0.1417042758165749,0.21404480156485878,0.017421543062938256,0.06848230376930155,0.03520901628696157,0.06475477940933877,0.0990398275887307,0.17880891286628628,0.020067720355318223,0.20444085850135424,0.02141500906325521,0.032695584748462805,0.22381620955173176,0.10885510226311881,0.017421543062938256,0.22381620955173176
1975-01-17,0.3884229430344062,0.11217445792500794,0.6638529519729793,0.3235599085106997,0.508045110295394,0.04664541002883564,0.2179433222722467,0.24418764591655287,0.13434014683301404,0.1862262359406737,0.21713002169280646,0.09809436133331494,0.6172458822716471,0.05185281578121695,0.06021545118275695,0.47513107058382614,0.27156673347346116,0.04664541002883564,0.6638529519729793
1975-01-18,1.0982768459926817,1.2928352693834297,1.4556498972029912,0.7062865829945877,1.1252300316522932,0.4172642133489017,0.5697915806201539,0.6988953141245142,0.7489418894900112,0.9297080552503303,1.4703806613329207,0.3972386913705486,1.0862143294823399,0.1974035284779318,0.19407719033482984,1.8375391491602076,0.8891083268886671,0.19407719033482984,1.8375391491602076
1975-01-19,1.3438092306739016,2.240781006186176,1.5360605446940465,0.8533533677796916,1.3525246183046913,0.9143962542930216,0.8366435863738129,1.093036657448072,1.4195612290975177,1.5442261946304856,2.7735014873174033,0.7564687502738745,1.2259582304966932,0.42420619050351355,0.4280107361410709,2.8991167894481533,1.3526034296038831,0.42420619050351355,2.8991167894481533
1975-01-20,0.898530551751901,0.537927807027064,1.2590323045504097,0.8634982115258572,0.9423155609876697,0.796054944282921,0.6336021841550991,1.174409186803821,1.078709312810725,0.7235304549717008,1.2857366803433243,0.7632158003850682,0.6048406456834777,0.25714834283254023,0.4161377127409096,1.338950737234452,0.8483525273804338,0.25714834283254023,1.338950737234452
1975-01-21,0.44382668594879293,0.10522569246196618,0.6980250694480605,0.7679814935316188,0.5531185676805532,0.6206140610602016,0.38242128612047593,1.080424149951527,0.7538198261123595,0.3158771617481378,0.5430566168020581,0.6602073288462142,0.2925874307887552,0.12242367311410898,0.3289273990214116,0.30973726387620715,0.49864210665702813,0.10522569246196618,1.080424149951527
1975-01-22,0.267649079658306,0.08106781597584906,0.40544152750073187,0.6818612792358507,0.4336080016380298,0.4858214791372677,0.21169125672988565,0.9144321113863692,0.6008061129349298,0.24344460527614245,0.14634942772074405,0.5831612597528252,0.20489744832406556,0.07584469734668338,0.26810859844161694,0.09651248524632444,0.3562935741441014,0.07584469734668338,0.9144321113863692
1975-01-23,0.2101462185336883,0.07897947519601324,0.2537577442335197,0.6075831582858984,0.2734419350523928,0.40197986027153315,0.12231160486481638,0.7624300302851547,0.5643162321961409,0.26736257294541105,0.14801100408872486,0.5346634284195972,0.18861145237162638,0.05971766186652072,0.2318373798405825,0.052198301741869804,0.2973342537620931,0.052198301741869804,0.7624300302851547
1975-01-24,0.9812961484819757,2.6754374579046996,1.227401242759606,0.8262075009856226,1.1687959651539097,1.1396703568478868,0.7141950850263954,1.1924337548642336,1.9831565202146,2.2448734765446754,2.794835347733061,1.1477867758676767,0.8345671640660075,0.46141447879991,0.7970600996904014,2.2170289150978375,1.400385018127406,0.46141447879991,2.794835347733061
1975-01-25,0.5047871931454995,0.27152067121192824,0.6922766517008111,0.7371486052338398,0.5463269192056712,0.8918092612792757,0.3327967899188107,0.989643641853634,1.0802649590544737,0.6040840938903214,0.6435321604423588,0.9522607336441413,0.3695133300872937,0.21509240223438258,0.5985158643743164,0.5042572591199903,0.6208644085247969,0.21509240223438258,1.0802649590544737
1975-01-26,0.32533143430829153,0.14038883716718462,0.4547795492945585,0.6699973400639816,0.3550347850394975,0.7013564049684153,0.18913173506935355,0.8452861356222728,0.6026553409021552,0.18200080868519136,0.1850119692167194,0.7659007815096442,0.2386247724560608,0.12879432813467173,0.44295644637019366,0.14946663909095093,0.39854483174369637,0.12879432813467173,0.8452861356222728
1975-01-27,0.4429792150740335,0.21326972306603634,0.5890544853781496,0.6779531216735183,0.5598867550754062,0.5753161938403883,0.16159079246687896,0.8474695038062913,0.38408768490087397,0.1584419062576309,0.1819437288379376,0.6173311739103227,0.23456252089636193,0.09898439863179306,0.3283035791993564,0.07578003522169184,0.38418467613979196,0.07578003522169184,0.8474695038062913
1975-01-28,0.30069348555904085,0.13538459230012198,0.35887669040647807,0.6109230081999104,0.36003270827366957,0.45819385931355183,0.11707601366072815,0.706676781131185,0.22525778698769217,0.08427196627563971,0.08648138142341164,0.4988805628659394,0.1925950341795042,0.08838401761024041,0.2437988508588243,0.06028290911466776,0.28298810301003785,0.06028290911466776,0.706676781131185
