,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,mean,min,max
2070-01-02,0.0,0.0,0.051624,0.0,0.0779982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08798689999999999,0.0,0.0,0.0831857,0.018799675000000002,0.0,0.08798689999999999
2070-01-03,0.0,0.0,0.026947728000000004,0.0,0.024491434799999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02560418790000001,0.0,0.0,0.017219439899999994,0.0058914244125,0.0,0.026947728000000004
2070-01-04,0.0,0.0,0.014066714016000001,0.0,0.007690310527199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007450818678900004,0.0,0.0,0.003564424059299998,0.0020482667050875,0.0,0.014066714016000001
2070-01-05,0.0,0.0,0.0073428247163520016,0.0,0.002414757505540799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021681882355599016,0.0,0.0,0.0007378357802750997,0.0007914753898579875,0.0,0.0073428247163520016
2070-01-06,0.0,0.0,0.0038329545019357447,0.0,0.0007582338567398109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006309427765479314,0.0,0.0,0.00015273200651694558,0.0003359289463587771,0.0,0.0038329545019357447
2070-01-07,0.0,0.0,0.002000802250010459,0.0,0.00023808543101630053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018360434797544807,0.0,0.0,3.161552534900774e-05,0.00015338172214695095,0.0,0.002000802250010459
2070-01-08,0.0,0.0,0.0010444187745054596,0.0,7.475882533911834e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3428865260855414e-05,0.0,0.0,6.544413747244599e-06,7.369692992829238e-05,0.0,0.0010444187745054596
2070-01-09,0.0,0.0,0.0005451866002918499,0.0,2.3474271156483158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5547799790908925e-05,0.0,0.0,1.3546936456796322e-06,3.6597710305307596e-05,0.0,0.0005451866002918499
2070-01-10,0.0,0.0,0.0002845874053523456,0.0,7.370921143135712e-06,0.0,0.0,7.361894843917163e-05,0.0,0.0,0.0,0.0,4.524409739154498e-06,4.479979837561484e-05,0.0,2.8042158465568375e-07,2.594886903962987e-05,0.0,0.0002845874053523456
2070-01-11,0.0,0.0,0.00014855462559392442,0.0,2.314469238944613e-06,0.0,0.0,6.0441156668559906e-05,0.0,0.0,0.0,0.0,1.3166032340939591e-06,1.5231931447709048e-05,0.0,5.8047268023726514e-08,1.4244802090703478e-05,0.0,0.00014855462559392442
2070-01-12,0.0,0.0,7.754551456002854e-05,0.0,7.267433410286082e-07,0.0,0.0,4.9622189624887685e-05,0.0,0.0,0.0,0.0,3.831315411213423e-07,5.1788566922210744e-06,0.0,1.2015784480911387e-08,8.341778221485509e-06,0.0,7.754551456002854e-05
2070-01-13,0.0,0.0,4.0478758600334894e-05,0.0,2.2819740908298293e-07,0.0,0.0,4.0739817682032785e-05,0.0,0.0,0.0,0.0,1.114912784663106e-07,1.7608112753551656e-06,0.0,2.4872673875486564e-09,5.20759771954123e-06,0.0,4.0739817682032785e-05
2070-01-14,0.0,0.0,2.1129911989374817e-05,0.0,7.165398645205662e-08,0.0,0.0,3.344739031694892e-05,0.0,0.0,0.0,0.0,3.244396203369639e-08,5.986758336207563e-07,0.0,5.148643492225721e-10,3.4550369345487167e-06,0.0,3.344739031694892e-05
2070-01-15,0.0,0.0,1.1029814058453655e-05,0.0,2.249935174594577e-08,0.0,0.0,2.7460307450215065e-05,0.0,0.0,0.0,0.0,9.441192951805649e-09,2.0354978343105713e-07,0.0,1.0657692028907239e-10,2.420357400857364e-06,0.0,2.7460307450215065e-05
2070-01-16,0.0,0.0,5.757562938512809e-06,0.0,7.064796448226972e-09,0.0,0.0,2.2544912416626563e-05,0.0,0.0,0.0,0.0,2.747387148975444e-09,6.920692636655941e-08,0.0,2.206142249983798e-11,1.7738447829078521e-06,0.0,2.2544912416626563e-05
2070-01-17,0.0,0.0,3.0054478539036854e-06,0.0,2.2183460847432685e-09,0.0,0.0,1.850937309405041e-05,0.0,0.0,0.0,0.0,7.994896603518543e-10,2.3530354964630197e-08,0.0,4.5667144574664595e-12,1.3463358565861423e-06,0.0,1.850937309405041e-05
2070-01-18,0.0,0.0,1.5688437797377242e-06,0.0,6.965606706093861e-10,0.0,0.0,1.5196195310215392e-05,0.0,0.0,0.0,0.0,2.3265149116238967e-10,8.000320687974265e-09,0.0,9.453098926955568e-13,1.0483730980070471e-06,0.0,1.5196195310215392e-05
2070-01-19,0.0,0.0,8.18936453023092e-07,0.0,2.1872005057134715e-10,0.0,0.0,1.2476076349686836e-05,0.0,0.0,0.0,0.0,6.770158392825541e-11,2.72010903391125e-09,0.0,1.956791477879802e-13,8.311262205660929e-07,0.0,1.2476076349686836e-05
2070-01-20,0.0,0.0,4.2748482847805407e-07,0.0,6.867809587940299e-11,0.0,0.0,1.0242858683092893e-05,0.0,0.0,0.0,0.0,1.9701160923122324e-11,9.24837071529825e-10,0.0,4.0505583592111885e-14,6.669597980253038e-07,0.0,1.0242858683092893e-05
2070-01-21,0.0,0.0,2.2314708046554422e-07,0.0,2.1564922106132532e-11,0.0,0.0,8.409386978819266e-06,0.0,0.0,0.0,0.0,5.733037828628597e-12,3.144446043201405e-10,0.0,8.38465580356716e-15,5.395547381396076e-07,0.0,8.409386978819266e-06
2070-01-22,0.0,0.0,1.1648277600301407e-07,0.0,6.771385541325612e-12,0.0,0.0,6.904106709610617e-06,0.0,0.0,0.0,0.0,1.6683140081309224e-12,1.0691116546884776e-10,0.0,1.7356237513384016e-15,4.387940523883921e-07,0.0,6.904106709610617e-06
2070-01-23,0.0,0.0,6.080400907357336e-08,0.0,2.1262150599762422e-12,0.0,0.0,5.668271608590316e-06,0.0,0.0,0.0,0.0,4.854793763660984e-13,3.6349796259408235e-11,0.0,3.59274116527049e-16,3.5806966121961623e-07,0.0,5.668271608590316e-06
2070-01-24,0.0,0.0,3.173969273640529e-08,0.0,6.6763152883254e-13,0.0,0.0,4.65365099065265e-06,0.0,0.0,0.0,0.0,1.4127449852253465e-13,1.2358930728198798e-11,0.0,7.436974212109915e-17,2.928377407062613e-07,0.0,4.65365099065265e-06
2070-01-25,0.0,0.0,1.656811960840356e-08,0.0,2.0963630005341748e-13,0.0,0.0,3.820647463325826e-06,0.0,0.0,0.0,0.0,4.111087907005758e-14,4.202036447587592e-12,0.0,1.539453661906752e-17,2.3982625223332815e-07,0.0,3.820647463325826e-06
2070-01-26,0.0,0.0,8.648558435586658e-09,0.0,6.582579821677309e-14,0.0,0.0,3.1367515673905033e-06,0.0,0.0,0.0,0.0,1.1963265809386761e-14,1.4286923921797808e-12,0.0,3.1866690801469767e-18,1.9658760201942082e-07,0.0,3.1367515673905033e-06
2070-01-27,0.0,0.0,4.514547503376236e-09,0.0,2.066930064006675e-14,0.0,0.0,2.5752730368276034e-06,0.0,0.0,0.0,0.0,3.481310350531548e-15,4.857554133411255e-13,0.0,6.596404995904239e-19,1.61236755889854e-07,0.0,2.5752730368276034e-06
2070-01-28,0.013629093489321382,0.018508740701482864,0.013374726789639687,0.0012944560897669782,0.031760615315201274,0.0021860918570234525,0.01317136194007746,0.005434116815401861,0.014086330027857915,0.01108664914175815,0.015036457679539011,0.002279246439057284,0.18031026801822378,0.004472200534880793,0.007354337321201027,0.019419042285829986,0.02208773340289143,0.0012944560897669782,0.18031026801822378
2070-01-29,0.5885195457242023,1.3892761831082405,0.6293895026412614,0.2787701090899841,0.8229936243981115,0.26355717489847036,0.32941104794520326,0.34664774621191147,0.9337764122402402,1.1901038520293958,1.4376414506832154,0.5336265701636671,1.108090202451752,0.22363838154823093,0.4388204307236111,2.225234232939858,0.7962185291748347,0.22363838154823093,2.225234232939858
2070-01-30,0.32469047248762595,0.28338111092689766,0.4251922324966713,0.2729041660812567,0.3914473025074807,0.2505920209000313,0.18625930740703645,0.34040639049047117,0.6446886060176411,0.44444512353619486,0.5311999734997864,0.4992962444239629,0.41763546501783694,0.12507106719126698,0.39778270631439844,0.7007230359884065,0.3897322015804353,0.12507106719126698,0.7007230359884065
