,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
0,0.6119072667780897,0.29425268208278077,0.7829631573017275,0.8090523501214986,0.04288102112985803,0.617,0.764,0.0,2.245,0.193,4.38,0.6448,0.328,34.84,0.881
1,0.5653319723846553,0.27121555504528005,0.7291576673176985,0.8718487046993985,0.1891388126606831,1.281,0.439,0.0,0.178,0.325,2.823,0.5047,0.355,6.47,1.929
2,0.4105682908457665,0.3949550636933652,0.7083097066339773,0.7684986143699213,0.5882843310618928,1.829,0.515,0.0,2.764,0.133,3.603,0.3332,0.613,10.04,1.963
3,0.6365205145675287,0.2818719207307335,0.6062944767364485,0.6820237520638602,0.07868974263470419,0.637,0.789,0.0,2.853,0.228,4.522,0.6693,0.522,7.42,0.074
4,0.5228284232981664,0.28206039452937737,0.6710201986861637,0.7802251059349241,0.35082186574356433,0.213,0.763,0.0,0.313,0.457,4.592,0.8669,0.5,10.22,-1.989
5,0.5501920309273569,0.3232362865483296,0.742266716706683,0.7420967492565753,0.2126656188900392,1.146,0.784,0.0,2.359,0.691,4.5,0.1356,0.127,20.95,-1.275
6,0.51725284980626,0.3879585769248003,0.48146845135826455,0.47285353055624046,0.6141904980601736,0.674,0.685,0.0,2.213,0.326,1.932,0.1118,0.578,46.03,1.699
7,0.45560133419791854,0.36609888076972164,0.8013148266358018,0.8162231799767742,0.40400507029196653,0.907,0.534,0.0,0.537,0.459,1.573,0.0847,0.236,8.19,0.843
8,0.4911610928520612,0.22740590392990712,0.8595398374980925,0.8888210738409568,0.42037475178161854,1.352,0.707,0.0,2.065,0.223,1.489,0.4942,0.163,5.2,-1.662
9,0.4751596985568514,0.25853328130593756,0.7970383685828544,0.8583067695548899,0.45957084995521247,1.693,0.645,0.0,0.856,0.762,2.351,0.3686,0.114,9.55,1.556
10,0.4980344383750246,0.410164291660968,0.7491169736222664,0.7413981952205955,0.28276234201020845,0.335,0.576,0.0,0.535,0.529,1.622,0.8804,0.296,55.74,1.186
11,0.6612647475603884,0.32697896059978426,0.43315796077635793,0.45592913018123793,0.17610441367093788,1.213,0.65,0.0,0.575,0.143,3.986,0.4685,0.6,54.38,1.772
12,0.5042427043702615,0.2969125188566175,0.7002120075447857,0.7386724426802881,0.39622364996053494,0.49,0.755,0.0,0.767,0.478,3.209,0.544,0.149,8.620000000000001,0.447
