,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
0,0.6144358310708624,0.21743865298531617,0.7964547767913019,0.8712958274851133,0.08363332761404474,1.715,0.57,0.0,1.067,0.222,2.383,0.608,0.292,4.96,1.611
1,0.3795489716459867,0.4098563401844324,0.6972031438677166,0.8069284348021745,0.6853611865677427,1.23,0.574,0.0,0.85,0.213,2.536,0.3162,0.404,13.87,-1.269
2,0.5421394869660967,0.41363291862594753,0.6437928756756226,0.6553231249171999,0.23439639789507316,1.733,0.636,0.0,0.938,0.192,2.115,0.0464,0.119,56.39,-0.831
3,0.6990097018748023,0.34170150025895285,0.2533706616597289,0.33131502169620075,0.28131622432428394,0.314,0.8,0.0,0.218,0.773,3.425,0.7835,0.22,59.72,1.413
4,0.558642294838454,0.30164555472456733,0.5165151836300778,0.6468314154054213,0.36585466469527383,0.832,0.64,0.0,0.085,0.166,1.916,0.131,0.405,6.34,1.267
5,0.37176672473628314,0.3570757577347574,0.8289123572954009,0.9306383219030329,0.6753334243911254,0.505,0.475,0.0,2.5,0.464,4.129,0.7471,0.339,5.95,-0.095
6,0.6258592539580049,0.2519947241067919,0.7378111555101697,0.8651916962793093,0.04064028572779588,1.683,0.732,0.0,2.282,0.463,2.012,0.6371,0.4,22.270000000000003,1.603
7,0.3819688183663016,0.40550108046699096,0.6677435443019808,0.7825520645387447,0.7307532906397785,1.119,0.773,0.0,0.40700000000000003,0.259,2.412,0.2997,0.417,6.02,-1.232
8,0.37466368594261806,0.4363552683771018,0.6511031803292029,0.7495436684136061,0.7564045116138732,1.507,0.637,0.0,1.928,0.28,2.899,0.4138,0.132,48.32,-1.956
9,0.5938199388380384,0.2620046369132949,0.5676233071897061,0.8104719212332208,0.19813914799238708,0.67,0.682,0.0,1.687,0.139,2.675,0.7546,0.661,19.16,1.092
10,0.6138571680678351,0.3726884063684238,0.21833092838859658,0.34780983227756235,0.7217840707996628,1.967,0.716,0.0,0.505,0.195,3.683,0.6677,0.512,25.31,-1.637
11,0.48104406144707595,0.2919053610540403,0.747221622379711,0.8665056387553699,0.41476681072112254,1.976,0.748,0.0,1.667,0.9,3.911,0.0761,0.326,7.46,0.997
12,0.599553051354281,0.11515637011720503,0.40407060597498434,0.5504822714260387,0.6874153470762834,0.194,0.765,0.0,1.896,0.545,4.899,0.9918,0.73,76.41000000000001,0.054
13,0.38680469428350417,0.41511995994617257,0.853991611833599,0.9255774337767334,0.5209074650472553,0.413,0.724,0.0,0.523,0.733,2.598,0.3824,0.229,9.25,0.437
14,0.6092921047709402,0.24651545501968464,0.7527860302109548,0.8538837509637717,0.08635684694223178,1.083,0.785,0.0,1.149,0.274,3.503,0.4438,0.27,107.46,-1.871
15,0.7565051070184938,0.26534940345929103,0.3420682553899549,0.4229812969167165,0.008201812610498904,1.717,0.556,0.0,2.791,0.443,4.804,0.6043,0.619,20.1,1.162
16,0.8057032033944391,0.2846726349753058,0.10133566734239496,0.1242041054983869,0.2856322116232757,0.484,0.666,0.0,1.582,0.731,4.455,0.6407,0.483,26.54,0.209
17,0.56319158820819,0.1733491856934153,0.619919310894536,0.8111263090324404,0.3634052388296609,1.892,0.567,0.0,1.025,0.903,2.737,0.1262,0.53,8.3,0.474
