time,streamflow
1986-01-01,8.58
1986-01-02,7.476
1986-01-03,6.315
1986-01-04,5.578
1986-01-05,5.04
1986-01-06,4.616
1986-01-07,4.304
1986-01-08,4.078
1986-01-09,3.794
1986-01-10,3.71
1986-01-11,3.738
1986-01-12,3.568
1986-01-13,3.398
1986-01-14,3.285
1986-01-15,3.228
1986-01-16,3.2
1986-01-17,3.115
1986-01-18,3.115
1986-01-19,3.483
1986-01-20,4.219
1986-01-21,3.596
1986-01-22,3.341
1986-01-23,3.256
1986-01-24,3.115
1986-01-25,3.171
1986-01-26,5.805
1986-01-27,6.626
1986-01-28,4.531
1986-01-29,4.248
1986-01-30,4.927
1986-01-31,4.219
1986-02-01,3.908
1986-02-02,3.851
1986-02-03,3.823
1986-02-04,3.766
1986-02-05,3.794
1986-02-06,4.502
1986-02-07,4.672
1986-02-08,4.502
1986-02-09,4.219
1986-02-10,4.163
1986-02-11,6.201
1986-02-12,5.975
1986-02-13,4.842
1986-02-14,5.125
1986-02-15,10.789
1986-02-16,8.127
1986-02-17,13.337
1986-02-18,64.279
1986-02-19,56.067
1986-02-20,21.323
1986-02-21,15.319
1986-02-22,12.176
1986-02-23,10.137
1986-02-24,8.75
1986-02-25,8.438
1986-02-26,7.334
1986-02-27,6.966
1986-02-28,6.598
1986-03-01,5.862
1986-03-02,5.38
1986-03-03,5.154
1986-03-04,4.984
1986-03-05,4.729
1986-03-06,4.559
1986-03-07,4.361
1986-03-08,4.191
1986-03-09,3.964
1986-03-10,3.908
1986-03-11,4.191
1986-03-12,5.182
1986-03-13,21.946
1986-03-14,58.049
1986-03-15,39.927
1986-03-16,24.862
1986-03-17,15.971
1986-03-18,12.205
1986-03-19,19.34
1986-03-20,23.446
1986-03-21,15.348
1986-03-22,12.035
1986-03-23,10.222
1986-03-24,9.033
1986-03-25,8.07
1986-03-26,7.306
1986-03-27,6.909
1986-03-28,6.456
1986-03-29,6.06
1986-03-30,5.72
1986-03-31,5.465
1986-04-01,5.607
