,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2067-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.855438446054048e-08,0.0
2067-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1391886046352669e-06,0.0
2067-01-10,0.0,0.0,0.0,0.0,0.0,0.0,2.019439173986536e-05,4.899656532816645e-05,0.0,0.0,0.0,0.0,1.8049448567700944e-05,1.7180473815022724e-05
2067-01-11,0.0,0.0,0.0,0.0,0.0,0.0,1.7692981449186132e-05,4.406378485370777e-05,0.0,0.0,0.0,0.0,1.5301691261321473e-05,1.5459997357390583e-05
2067-01-12,0.0,0.0,0.0,0.0,0.0,0.0,1.556195682506047e-05,3.9627617214173934e-05,0.0,0.0,0.0,0.0,1.312945817351839e-05,1.391181179657167e-05
2067-01-13,0.0,0.0,0.0,0.0,0.0,0.0,1.3687648388622042e-05,3.5638065392854157e-05,0.0,0.0,0.0,0.0,1.1390220821825868e-05,1.2518663683387401e-05
2067-01-14,0.0,0.0,0.0,0.0,0.0,0.0,1.2039130008942727e-05,3.205016587500174e-05,0.0,0.0,0.0,0.0,9.979905492273598e-06,1.1265027352970864e-05
2067-01-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0589201176003695e-05,2.8823481894757803e-05,0.0,0.0,0.0,0.0,8.822116409650604e-06,1.0136931902051379e-05
2067-01-16,0.0,0.0,0.0,0.0,0.0,0.0,9.313938181103647e-06,2.592164769997109e-05,0.0,0.0,0.0,0.0,7.860426206415075e-06,9.121805492973556e-06
2067-01-17,0.0,0.0,0.0,0.0,0.0,0.0,8.192299365846264e-06,2.3311958698633925e-05,0.0,0.0,0.0,0.0,7.052855349021308e-06,8.208335249327671e-06
2067-01-18,0.0,0.0,0.0,0.0,0.0,0.0,7.205777926151496e-06,2.096500286775442e-05,0.0,0.0,0.0,0.0,6.367914292293045e-06,7.386341181825778e-06
2067-01-19,0.0,7.649478390249661e-06,0.0,0.0,0.0,7.983232488354072e-06,8.135362550229455e-05,0.00014657948138608852,3.4293334002736235e-07,5.282392084621301e-07,2.0005928769981135e-06,0.0,9.388832763784235e-05,5.5445496001703565e-05
2067-01-20,0.0,0.0002124263183188477,0.0,0.0,0.0,0.0001279825189479192,0.000640270921190261,0.0007449676754263798,3.02399959309309e-05,3.4322308893220106e-05,0.00012790404070312395,0.0,0.0005027607579288151,0.000367130222257637
2067-01-21,0.0,0.00017189902990855614,0.0,0.0,0.0,0.00010562370662473499,0.0005064517408419775,0.0006505777859984398,2.5793795853156843e-05,3.0784387966733753e-05,6.309516476679281e-05,0.0,0.00041243762463707317,0.0002774418547840943
2067-01-22,0.0,0.00014210520488119793,0.0,0.0,0.0,8.808676768069332e-05,0.0004458119006728853,0.0005716954360010957,2.2009728760298962e-05,2.7657669931072517e-05,3.500508070355864e-05,0.0,0.0003447491520983244,0.000250190865671964
2067-01-23,0.0,0.00011968858522349443,0.0,0.0,0.0,7.428440071169149e-05,0.0003924728764627811,0.0005050990678089626,1.8789091672254978e-05,2.489200449380725e-05,2.259890613323598e-05,0.0,0.00029352124342801704,0.0002256619903121356
2067-01-24,0.0,0.00010242382985725571,0.0,0.0,0.0,6.337884155447362e-05,0.0003455552019371772,0.00044834814533683,1.6047896268866945e-05,2.2443618730438665e-05,1.6913264478907476e-05,0.0,0.0002543183947815771,0.00020358272028426057
