,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2067-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-10,3.056742410803353e-07,1.2580027911322847e-06,5.342432224922925e-07,0.0,1.2728003556221949e-06,8.976441181478135e-07,2.278371569544578e-06,1.725252040553871e-06,1.8653564389694897e-06,1.5195441041109515e-06,4.7205257448109255e-07,0.0,2.0407749280698642e-06,1.094583271330655e-06
2067-01-11,2.713812982614986e-07,1.1026590378412124e-06,4.7151242990498084e-07,0.0,1.1237113840252049e-06,8.078758832409771e-07,2.003899785940049e-06,1.5515604864180988e-06,1.5874154862191404e-06,1.3641820899511243e-06,4.2400729170375025e-07,0.0,1.815835794553008e-06,9.849701855963326e-07
2067-01-12,0.00013236184198743914,0.00023497136682320923,8.062790909494682e-05,1.037847217689766e-06,0.0001531377121701885,0.00011686690216353171,0.0004999609081454352,0.0003126275428760174,0.0001506368702707766,0.00012367329240620725,0.00020405621732309188,1.3050329897666338e-06,0.0001689782087212038,0.00023069787056722644
2067-01-13,3.462385554075549e-05,0.00018828282011599555,5.063517681614846e-05,9.340624050794835e-07,0.00011486039702454327,9.856922126400829e-05,0.00028185412052519904,0.0002683416857242227,0.00012901395787416324,0.00011094509043426538,0.00010761675099747712,1.1701114093903175e-06,0.00014114850638471217,0.0001310763028921427
2067-01-14,3.140063045042902e-05,0.00015443142582571802,3.796277402004126e-05,8.406560828143676e-07,9.32566340973957e-05,8.388477205209231e-05,0.00024886813483494417,0.00023244792908226673,0.00011060795929058198,9.965917108117888e-05,6.499927639036766e-05,1.0491387735954696e-06,0.00011968587190468259,0.00011858872285791004
2067-01-15,2.853247180643746e-05,0.00012932526110441875,3.149120089454839e-05,7.565904009514874e-07,7.93736274248292e-05,7.203494728186185e-05,0.00021984453136713152,0.0002030141590140135,9.493894039519356e-05,8.964498210760615e-05,4.545551469170366e-05,9.406729627864393e-07,0.00010293146938887715,0.00010734346488805365
2067-01-16,2.5979610158420198e-05,0.00011026205356976068,2.7387212486520045e-05,6.80931294633046e-07,6.932253682273063e-05,6.241609986647278e-05,0.0001943061021365235,0.00017860182744973378,8.15985850924081e-05,8.075296833284779e-05,3.587440941621572e-05,8.434209517249308e-07,8.968452173469064e-05,9.721622646374455e-05
2067-01-17,2.370673706602598e-05,9.544564473596911e-05,2.4311614013607785e-05,6.128381055687837e-07,6.138208516004636e-05,5.455945754673339e-05,0.00017183312606769305,0.0001581340268119039,7.023950781188015e-05,7.285187855457102e-05,3.065820288034367e-05,7.562233953247869e-07,7.907270824714692e-05,8.809515153981496e-05
2067-01-18,2.1682504634021517e-05,8.367218949687854e-05,2.178100596818895e-05,5.515542413710486e-07,5.476260299278123e-05,4.8100301248571915e-05,0.00015205644365733,0.00014079945988764375,6.056616091730633e-05,6.58264316321346e-05,2.7410469161296174e-05,6.780408080531738e-07,7.04595890347565e-05,7.987958415501144e-05
2067-01-19,1.9879081193428978e-05,7.412632303917268e-05,1.9607487046702608e-05,4.963987689571774e-07,4.907817135843536e-05,4.2754258206471426e-05,0.00013465136592069957,0.00012598247275351015,5.232709901327141e-05,5.957529215221061e-05,2.5099492570332888e-05,6.079411721822618e-07,6.337843780505713e-05,7.247894685722177e-05
