,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19
1975-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.948886280687038e-05,0.0,0.0,0.0,6.109594136658307e-05,0.0,0.0,0.0,0.0,0.0
1975-01-04,0.0003436964392194927,1.1421739595666905e-05,0.0010384260658034582,0.047058483651056734,0.0003268876190424201,0.0005952037197762213,4.843838841477632e-05,3.156817754061603e-05,4.5095455064575684e-05,0.0006342308910304491,7.981028371716703e-05,0.0381987601867344,8.621290671086924e-05,0.011983020880780253,8.102521966022724e-05,6.65243402238035e-05,0.0003078409230592114,0.00015748336467580248,7.078501217311262e-05
1975-01-05,8.660309250390145e-05,2.479457417147646e-06,0.0005186743773410379,0.03193565907012897,0.0,0.00020359779646267405,0.0,2.016897342072372e-05,0.0,0.0004517455441217982,0.0,0.022039879745747726,0.0,0.002588331261659422,0.0,1.1349007686230581e-05,0.0,0.0,0.0
1975-01-06,2.1821860151566987e-05,5.382463005706022e-07,0.0002590681403032414,0.022182810286247794,0.0,6.964348734252061e-05,0.0,1.288599851297978e-05,0.0,0.0003285341262216468,0.0,0.013471139910968719,0.0,0.0022988971752724826,0.0,1.936133075935926e-06,0.0,0.0,0.0
1975-01-07,5.498574781877389e-06,1.1684374092264856e-07,0.00012939968552957802,0.01583803947487703,0.0,2.382253351212977e-05,0.0,8.232890896960625e-06,0.0,0.0002438770564898384,0.0,0.008844877252080777,0.0,0.0020575754304172633,0.0,3.303030001716527e-07,0.0,0.0,0.0
1975-01-08,1.385506296067382e-06,2.5364707157904966e-08,6.463272016217185e-05,0.01166398022991149,0.0,8.148832354494298e-06,0.0,5.26001089112212e-06,0.0,0.00018532959304973787,0.0,0.0062924606045923585,0.0,0.001851725921211228,0.0,5.634946960949776e-08,0.0,0.0,0.0
1975-01-09,3.4911368356200366e-07,5.506228781498788e-09,3.228283359782011e-05,0.008877978960666031,0.0,2.7874226184986685e-06,0.0,3.360631753900389e-06,0.0,0.00014448947739679699,0.0,0.004835078107216582,0.0,0.001672950054309107,0.0,9.613181604834296e-09,0.0,0.0,0.0
1975-01-10,8.796810551938724e-08,1.1953047675835988e-09,1.6124670948237592e-05,0.006983811571680005,0.0,9.534770769744414e-07,0.0,2.1471145248739753e-06,0.0,0.00011568213763614834,0.0,0.00395971240105228,0.0,0.0015155519364361452,0.0,1.6400023142710847e-09,0.0,0.0,0.0
1975-01-11,2.216581002988868e-08,2.5947949932788216e-10,8.053971235241699e-06,0.005666170187262339,0.0,3.2615023293646955e-07,0.0,1.3717958766455914e-06,0.0,9.507362962304146e-05,0.0,0.0033971981859056716,0.0,0.001375569190316266,0.0,2.7978329146117036e-10,0.0,0.0,0.0
1975-01-12,5.5852417348334435e-09,5.632840460225089e-11,4.022807836906001e-06,0.004724252489338635,0.0,1.1156427040916138e-07,0.0,8.764432010408482e-07,0.0,8.007215473196368e-05,0.0,0.003006051808807509,0.0,0.001250161505989008,0.0,4.7730841291914824e-11,0.0,0.0,0.0
1975-01-13,1.4073442474902394e-09,1.2227899210741e-11,2.0093171952068295e-06,0.004029846507853053,0.0,3.816212645279004e-08,0.0,5.599613599430463e-07,0.0,6.892426848789033e-05,0.0,0.002711663165543943,0.0,0.0011372239473014254,0.0,8.14284941225715e-12,0.0,0.0,0.0
1975-01-14,3.5461631295049624e-10,2.6544603946064086e-12,1.0036163184118259e-06,0.003500822506478858,0.0,1.3053891627288818e-08,0.0,3.5776046212337716e-07,0.0,6.044243958502318e-05,0.0,0.0024744649910343197,0.0,0.0010351415494605021,0.0,1.3891646314209905e-12,0.0,0.0,0.0
1975-01-15,8.935463347710622e-11,5.762363481328548e-13,5.012875602643842e-07,0.0030843437870227306,0.0,4.46526707121015e-09,0.0,2.2857389351249255e-07,0.0,5.382122631659043e-05,0.0,0.0022732694114938772,0.0,0.0009426328145517186,0.0,2.369905515244069e-13,0.0,0.0,0.0
1975-01-16,2.2515181147187048e-11,1.2509070754424395e-13,2.503837507081109e-07,0.021839312709574336,0.0,1.527407349970067e-09,0.0,1.4603632968654522e-07,0.0,0.003001627553668677,0.0,0.0020965433955416187,0.0,0.029421462113437553,0.0,4.0430428648612616e-14,0.0,0.0,0.0
1975-01-17,0.0021153206482287944,0.004847760327438616,0.017977585564860555,0.03725514285441559,0.00657115540367453,5.224711479822674e-10,0.0,0.004036133483662245,0.0026725445241065227,0.005476882496029648,0.0,0.019628619089679687,0.0,0.01137327312268853,0.0,6.897403926849004e-15,0.0,0.0,0.019338503888817544
1975-01-18,0.022001080048404953,0.018553584138588024,0.05420378713946479,0.05638150138088739,0.038443264591153894,0.031660661422510374,0.01149019956178985,0.030623212888181126,0.02772635341337416,0.00597112558610843,0.03557652315900508,0.06411952264211485,0.022815753255418313,0.03297632823432446,0.019346325947563824,0.017340769049459682,0.04752868074547406,0.02331666658793814,0.048071119317477574
1975-01-19,0.009727378493371854,0.012624289757236425,0.02359485927291449,0.037195675183413345,0.018709546310065633,0.015033824516328254,0.005937747756244033,0.018169321716004785,0.018491596761823197,0.0041269590397006,0.022341908355750336,0.036871682568066826,0.015164908907034652,0.013453629425809268,0.010910664193055456,0.01204086570196393,0.025213699472558252,0.014011699688764706,0.03069683417329336
1975-01-20,0.005400673601516794,0.008920486486068104,0.014163131646118883,0.025688609031311906,0.013171500237903453,0.008220069885891159,0.003721350746711859,0.01109391106995941,0.013304604659261483,0.0030527001997963715,0.015312574142303387,0.02333174731159928,0.011170565595266458,0.01129645916443937,0.007232373770968593,0.008856996290844214,0.017498619583255683,0.010245054565809736,0.020696799114012385
1975-01-21,0.0035164991105651948,0.006513801058717579,0.00922599466092907,0.018558861760200357,0.009594025120098049,0.0051293312620914935,0.0024328672726967437,0.007055599960996357,0.009726306736480454,0.0023106408612615327,0.010888745606071691,0.015950363750787514,0.008331242757109558,0.009690312458191453,0.004870256686984238,0.006632920594961356,0.012269976747800908,0.007642439162383054,0.014360109094461643
1975-01-22,0.0025246571959956104,0.0049161362515518885,0.006555332121586285,0.013997081492583394,0.007248426973351913,0.0035541584986702327,0.0016781352041525719,0.004733788096404986,0.00724576791537402,0.001793816937456566,0.008060732734513706,0.011813922241150248,0.006303652286573891,0.008452259173280708,0.0033495370564786365,0.00501290535074716,0.008719000690355059,0.005829938788150508,0.010317166918242523
1975-01-23,0.0019322819011843282,0.0038368041892018713,0.005036195839672399,0.010981372747947565,0.005679966823428275,0.0026576888969501583,0.00123071215622245,0.003383337084187027,0.005515179820380188,0.0014299927804776254,0.006214280720306071,0.009395843211770921,0.004847301043988185,0.007465542207443504,0.002366882883634792,0.003819778088665447,0.00630040950905667,0.004554905147996953,0.007712089055029587
1975-01-24,0.00155108993711775,0.0030935470628940865,0.004109838786175826,0.00891861646652951,0.004604598842457325,0.0020998260890328665,0.0009604949260327172,0.002583613177122297,0.00429772053946333,0.0011703670472931207,0.004975325115636317,0.007895645836979095,0.003793648464142542,0.006655099550486731,0.0017284883646936497,0.0029376932972813344,0.004646544868568891,0.003646537148168232,0.006009921073873151
