,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20
1975-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-17,0.0037036567958273637,0.001449319751577729,0.0001858193895739786,0.0016107777654104894,0.00027645290619414213,0.0010236772998197456,0.004289123249370981,0.0006074799371000062,0.0016802648119322327,0.000193386250156955,0.00019432653190881054,0.0015013505365978476,0.0002505831568770489,0.0007786103847025317,0.0003792532161086904,0.00047664576153563234,0.00021025183467228718,0.001311261883280519,0.0012283039673846652,0.0005784370048261778
1975-01-18,0.0,0.0,1.0636051489867191e-05,0.0,0.0001399069523275644,0.00021931074258022356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.557263902681253e-05,0.0,0.0,0.0
1975-01-19,0.03927318305807601,0.02438259987135699,0.006134557554722708,0.013056106503285493,0.004859579085078325,0.016813107683065365,0.043971862810452074,0.01595682227896844,0.015952592830080617,0.004629161034731109,0.003346221916871934,0.01402741900274554,0.021336288973887785,0.00822069320533237,0.01058743369284631,0.013309428423063985,0.01713606786421722,0.0154326637980545,0.016309707254226733,0.010014162384565546
1975-01-20,0.10286911474354865,0.0681046255148099,0.01913381343686326,0.034617289301275604,0.0142168445800314,0.04989757125161643,0.1166143106729438,0.045258361133842455,0.0443981677804783,0.014654901876246518,0.009865930083499652,0.0364176872893564,0.06316373772500823,0.023561059074955915,0.035300025942487066,0.04029995219081471,0.05199856638412528,0.04281981096976423,0.04547199961764247,0.030073441435564608
1975-01-21,0.006872969499687567,0.007258709417282361,0.002561686111134552,0.00044054204564868344,0.004660391220087264,0.017774382495347133,0.018070966010044365,0.005050154953596167,0.0017293398546145615,0.0019571980169103935,0.0008142960101339468,0.0016151459838431937,0.0115156137310618,0.0008730291576330093,0.018238306788829182,0.005263452451908697,0.008864351266992093,0.006535641947644229,0.0075371358045585295,0.0028774672922733616
1975-01-22,0.005997485316706086,0.006530132252599272,0.0020863387826223112,0.00026634869702846724,0.002827830895058837,0.007947045243448041,0.0069743617508122,0.00452651574346342,0.0014421273592688183,0.001364699041266489,0.0007204602847596994,0.001343455805633337,0.010470619300250552,0.0007112474550865195,0.010864865257414764,0.0047503637022801365,0.006988566970490512,0.0033444610756121805,0.0035329897527454166,0.002555111219750838
1975-01-23,0.16107100814147574,0.151604174381445,0.04827566223256925,0.04297919730525282,0.03409601840066211,0.10746395595402347,0.18252141616365694,0.11603216724763887,0.07917048132620284,0.038705295595876356,0.025500266445943123,0.0548028109057422,0.17118754619423712,0.034589709211245476,0.09739367212228454,0.08682921776826676,0.14168928357750127,0.08013174836813061,0.08720115717814715,0.06286287621309088
1975-01-24,0.10553602404432665,0.09034453740666333,0.02951977290370581,0.029223964620772962,0.02204104752378918,0.09134264600083243,0.1312609860486965,0.06447962330152616,0.04631353033654352,0.022201575270940795,0.01428728878152145,0.03652212400836097,0.10101341469942857,0.02530318218177501,0.08386574244408104,0.05887881957205521,0.08068429184192516,0.05962288037504814,0.06474835311325444,0.040752459319901395
1975-01-25,0.6849497818087268,0.6001973389908104,0.250559600947289,0.15683565184262052,0.17641354635830428,0.434383115809457,0.6508690866219871,0.4653531295152087,0.390414567204153,0.19816949784728521,0.12094846467862894,0.3374137900115945,0.7216338815826181,0.15263499351205556,0.66815055990895,0.45196349618349335,0.6507190437555836,0.31206996271527443,0.35936147079355274,0.311621791192411
1975-01-26,1.1545711743171294,0.9775579246004046,0.4776924175938546,0.23185010584411422,0.33841013954678656,0.8031949306663271,1.0356171580663869,0.7812920991127658,0.6490713718451583,0.3804123163030974,0.22227980813490644,0.5688428978179286,1.2067692222376507,0.2560454252491745,1.190276007745886,0.824703120565629,1.1608409948840601,0.5518577518839639,0.6397637746497821,0.5698189566243236
