,simulation_1
2067-01-02,0.0
2067-01-03,0.00021173908698036165
2067-01-04,0.0013322837250654947
2067-01-05,0.002897402982518714
2067-01-06,0.02105346623857872
2067-01-07,0.008424907801044181
2067-01-08,0.0033070814627073632
2067-01-09,0.021251573663564446
2067-01-10,0.044843184227060476
2067-01-11,0.23366631208227542
2067-01-12,0.5262666298643411
2067-01-13,0.9206807281280672
2067-01-14,0.95145379012704
2067-01-15,1.5625385768704898
2067-01-16,2.1886261253412163
2067-01-17,1.8613483460719777
2067-01-18,3.7485914381472796
2067-01-19,2.5851239605795597
2067-01-20,1.2803839049277128
2067-01-21,1.4447195134728
2067-01-22,0.9339771560371211
2067-01-23,1.6757132814998528
2067-01-24,1.668560941716872
2067-01-25,2.860232927622027
2067-01-26,1.4327103645537445
2067-01-27,1.6953193060334097
2067-01-28,1.498274622126312
2067-01-29,1.1286054624997308
2067-01-30,0.8689419857093557
2067-01-31,4.202071740360794
2067-02-01,7.158473235618606
2067-02-02,5.1281997234936565
2067-02-03,5.7982025655282445
2067-02-04,9.981481191388852
2067-02-05,4.965992688640951
2067-02-06,2.9841685412709213
2067-02-07,2.642683892311915
2067-02-08,3.468534639599623
2067-02-09,2.8654761554393957
2067-02-10,3.346913330445715
2067-02-11,4.771797862821203
2067-02-12,8.298619925984859
2067-02-13,5.335027448946527
2067-02-14,4.954993114450138
2067-02-15,4.67939669373299
2067-02-16,3.7766963144468186
2067-02-17,2.853636823526488
2067-02-18,3.28411983329823
2067-02-19,6.176198477034248
2067-02-20,5.012672223739218
2067-02-21,4.133604098901317
2067-02-22,3.3604108595504876
2067-02-23,3.29963743219061
2067-02-24,4.254078793210374
2067-02-25,6.340727304976548
2067-02-26,4.121263013693978
2067-02-27,3.596610229932409
2067-02-28,3.885606993892572
2067-03-01,4.905217772711254
2067-03-02,5.818420011236946
2067-03-03,9.964596602922903
2067-03-04,6.898073423022465
2067-03-05,5.46570158904577
2067-03-06,5.6034157231803245
2067-03-07,6.233407251490858
2067-03-08,5.9260715648137765
2067-03-09,6.8709954417894945
2067-03-10,5.212799695309805
2067-03-11,4.99413114973946
2067-03-12,8.87882589949048
2067-03-13,7.039401022060488
2067-03-14,5.548279448756968
2067-03-15,5.277130896034393
2067-03-16,5.23808449104088
2067-03-17,5.698338330277354
2067-03-18,5.9045986829848935
2067-03-19,5.319297542352551
2067-03-20,4.656560826457792
2067-03-21,4.79814545005664
2067-03-22,5.432341441944807
2067-03-23,5.608879460802649
2067-03-24,5.415954421397764
2067-03-25,5.482397363346092
2067-03-26,5.86471004742534
2067-03-27,6.367281873203796
2067-03-28,6.838140423716107
2067-03-29,8.329900305137423
2067-03-30,7.086020597221506
2067-03-31,6.022251172178482
2067-04-01,5.964713249729364
2067-04-02,5.9661442349611775
2067-04-03,6.3443429297756815
2067-04-04,7.254603472364749
2067-04-05,7.198915756544494
2067-04-06,6.868433735778353
