,ED,NSE,logNSE,NSEfdc,NSErunoff,Temp_Thresh,Meltfactor,Mm,Ratio_Pref,Kf,Ks,Ce,Soilstoragecapacity_Bare,beta_Bare,Interceptioncapacity_Forest,Soilstoragecapacity_Forest,beta_Forest,Interceptioncapacity_Grass,Soilstoragecapacity_Grass,beta_Grass,Interceptioncapacity_Rip,Soilstoragecapacity_Rip,beta_Rip,Kf_Rip,Ratio_Riparian
1,0.4205360450397394,0.5272476874446455,0.4733955542586017,0.9104028081213306,0.554390739978309,1.128759203365353,1.5733505921699438,0.2934068485889789,0.1007512083581011,1.8348110705137088,0.013841788816757,0.4034823121753236,27.47503172815999,1.850179054547432,2.370791835618532,459.1605205925232,0.6503697049738963,0.318939651118612,355.6227912291695,1.3003785637275038,2.955134221884151,399.7313610918701,0.2865646256673747,0.11218787261117,0.4389687634349726
3,0.4025554341002664,0.5559858980309484,0.4530202719955706,0.963226858195142,0.6120362123326037,0.5207479177759824,1.0772569600499609,0.7349306968467162,0.1353563873524309,0.3527218511568737,0.015478712122596,0.4223465044329957,6.0247816339281375,0.3046064401324666,3.0989152143314227,535.5023102624227,0.5050192837522286,0.4594031850296423,280.4355219983482,1.5041750307565844,2.976939638408451,223.97646182352003,0.2197866044559938,0.1234844265736905,0.0749799002943601
4,0.432040974419522,0.5119843549146234,0.450988882463972,0.9267004158588892,0.5508983319470233,0.6668779296032223,1.145454040795497,0.5866804336160363,0.147336020270557,0.341415418173731,0.0129188752735531,0.4252507418587326,60.41054814112148,0.6151400309354189,5.971918838066782,642.2065764663034,0.4207247040490093,4.063651596648289,222.91618788846543,0.2647055640146976,6.080872614590324,374.1290209304476,0.4862993020926388,0.1127912176934678,0.3925900506072401
6,0.3950723632020959,0.5256296110767273,0.5294725425319977,0.961256597354756,0.5799949008674965,1.0523404666974248,1.4336450492555677,0.2175077357473588,0.1167204735642742,0.6582366667931295,0.01258140413314,0.4403170200161601,9.525088164369214,1.974874822194277,9.429039425147202,329.94190918233073,0.3990382741788663,3.717143798582992,101.1176279904523,0.7044941849861874,5.836880241501827,248.3813610136953,0.2861350982084548,0.1174199127780543,0.2590823791856795
7,0.4124415659774484,0.5463272819938825,0.5141276983213425,0.94795527068174,0.5143739103669014,1.463803341067354,1.648138127196685,0.6833672631688824,0.1338107074901059,0.2210748196093565,0.011239977301178,0.4997722533500733,31.26340005543492,0.9436234228879308,9.967977589561247,724.9914277404716,0.4938561219829016,1.68808538273171,20.072949353349188,1.9433393314956848,1.1156358893667244,399.9994795366388,0.1384671024761502,0.1000000875285923,0.0532204336570836
8,0.3957671943017647,0.5633437074597543,0.5287830926546349,0.8821982925518778,0.5528586862286744,0.0194647140088082,1.1536079077544217,0.4096406487844397,0.1104297616420705,2.9999250757104945,0.011648504009873,0.7356574810278489,41.184112808867376,0.1204183241799854,9.71162607953895,461.6915868752819,0.3159811654394308,3.652141448281507,40.12070154272678,0.4793758827442635,3.251947622636515,361.3691334175163,0.1009194682321659,0.1000036696217222,0.3334959378947577
9,0.4317411984438637,0.4926711588958405,0.4432386891640316,0.9092118312743328,0.5876971405695328,0.2751401585467921,1.5134032466474363,0.8720482513271398,0.1731180397622393,2.7108182931107248,0.0129787305531628,0.4817808240084795,58.48992314877752,1.2120130384731564,3.936860885817434,474.561708506656,0.500022061195468,4.916558599569771,283.47144760416825,0.6691974531145907,6.211400592036977,277.6750263395481,0.4517396824614711,0.1002462222040333,0.2618331390770448
10,0.4254690413939106,0.5266803662291957,0.4801557191455926,0.8599978327642693,0.5414964974420073,0.5791560453560809,1.5992070630673756,0.1656649043605943,0.1967129810057425,0.2946497955160366,0.0089118228928954,0.4893717442045818,68.59794833550434,1.2224732460715113,7.073123428459758,414.8481109119384,0.4905309272595882,0.5097736195965221,168.28683007053712,1.4533284809735243,5.440225802391757,255.1791266611356,0.4750466735655758,0.1009674074497076,0.4992833824076794
11,0.3956579336718718,0.5596070080290266,0.481353489826483,0.9750980179836216,0.5967376743243631,0.9927891666393394,1.4297808958656308,0.4543152533856195,0.1023175476946645,0.5736164066021374,0.0167525022564849,0.4155796935774287,48.60286738483534,1.678028569626658,9.771325327674266,535.6970153384341,0.4759483431887088,2.111079489129313,77.0391188648828,0.9256074826646152,3.806728202872406,185.65227974848855,0.3071601075469869,0.1171346086905431,0.2406979832109287
12,0.3968570657211893,0.5684643050907229,0.5081164286279748,0.9259087708180832,0.5569197494323277,0.5038811272111312,1.2859757606829418,0.8747059254604612,0.1316351953463854,0.2326390188302119,0.0140072069746001,0.477282250462586,7.28965678778449,1.935994452489978,2.446393901426636,497.0864197195282,0.3719689331691133,4.243982234193203,336.8870128511128,0.1284156281864437,5.8812922827385545,335.7038667375086,0.2212436298319695,0.100004259028693,0.4721882090913299
