,index,Unnamed: 0,ED,NSE,logNSE,NSEfdc,NSErunoff,Temp_Thresh,Meltfactor,Mm,Ratio_Pref,Kf,Ks,Ce,Soilstoragecapacity_Bare,beta_Bare,Interceptioncapacity_Forest,Soilstoragecapacity_Forest,beta_Forest,Interceptioncapacity_Grass,Soilstoragecapacity_Grass,beta_Grass,Interceptioncapacity_Rip,Soilstoragecapacity_Rip,beta_Rip,Kf_Rip,Ratio_Riparian
0,0,0,0.2708198455099295,0.6142876601384528,0.7689954076905887,0.9539826848829008,0.7014722277442264,-0.1403888655918741,4.065745337914837,0.4236792428059653,0.2975913458392111,1.6448479047757103,0.0832974242384927,0.5172793233572646,53.52296167776839,1.3120335597284332,8.113114235213546,81.91932653512359,0.7506041574817799,1.913190178687704,179.01629455534385,0.1966694863979536,2.7410337564245597,54.37690423761229,1.461471129759342,1.8835371888261605,0.190771387578798
4,4,4,0.2698145655319991,0.6152661800900736,0.7756527956153061,0.9479179117850104,0.6997746265181097,-0.1591093061463366,4.0508582975798495,0.3926051652496454,0.2533707856979944,2.999992770920262,0.0691533599054265,0.6121579949458429,46.75113454840056,0.14150605399059,3.1472150362779088,170.40445808381182,1.344189421304515,3.2938294852000043,155.026539462594,1.8084626948534868,6.193442348763698,101.971379803997,1.2734554370431896,1.62171331196479,0.1097891268889724
6,6,6,0.2623881678644379,0.612068058652626,0.7651775780056708,0.9648846498744864,0.7382284321440482,-0.1311837181532942,4.111391688161481,0.1857345421153916,0.3187938921916811,2.146889812054549,0.0780253456418023,0.4609306486868839,66.20712088543397,0.1471417652440076,8.822192767789588,478.30316290187886,1.2277727055337888,4.61955562257954,97.6578645477496,1.1210348044333756,5.847335930746013,393.9880812921234,0.6560633137971998,0.942761347380098,0.1203426298668179
8,8,8,0.26066841850544,0.6119184769814441,0.7644614829933215,0.963977411012937,0.7462110932190482,-0.133366486216532,4.03209121091232,0.2598691880661875,0.3174987713109176,1.116724745884086,0.09999936492196,0.7879126397361033,14.02845270229412,0.5515185733205509,1.4581843128570111,692.2642587788392,0.1584568885872665,0.5536813571964481,241.8628418595464,0.7506827446858273,3.857284126027316,108.66096866157297,1.3443528474091622,2.067975511065541,0.4922537560289934
11,11,11,0.2613704925718114,0.6112625883611376,0.7743658926456014,0.9603934748312116,0.7360645247343949,-0.1520726022120868,4.009595186898858,0.72311986911144,0.2938020475508346,2.354347890826483,0.0999527896151706,0.4555971251111175,24.885021961747505,1.989708988972708,1.8210618012336512,580.629621796993,0.6528797655427383,4.756843862488423,96.18851969362292,0.5289876571281468,3.6789239799268407,375.8958961128209,1.5794690789843706,0.4939212097509541,0.4074106388650578
14,14,14,0.2625357838327107,0.6179669931595522,0.7789613477103716,0.959189159628147,0.7185265157120523,-0.1301118991716452,4.088974217531179,0.5282929334555746,0.3995730491769452,0.5997754273929378,0.0590929685500623,0.4012975527664871,29.4661252085574,0.4457340469638974,1.2904232670650757,206.02609836629827,1.0646766555448073,1.7858667691496974,190.4651596449436,1.9798314831160653,2.5322269389562977,89.55273457755443,0.8321854785993523,0.7857618386000735,0.1919381509769077
18,18,18,0.2573842094678331,0.6162708607181626,0.7796408829145711,0.9602778944872348,0.7399952180237666,-0.13025353714304,3.872110118678541,0.3859932803637649,0.3940907631982698,0.7049272209356022,0.0779889408915323,0.6865897160201997,50.74116351162193,0.4009894693333058,2.8749146233249565,207.5397531980359,1.6435746568417045,2.887647272493769,310.6351127707097,1.2863501566013886,2.413622354652921,31.206075976598417,0.9697161472981718,1.2964318247163602,0.485045763320817
21,21,21,0.2644297490119323,0.6140145423463093,0.7651614079814132,0.960086442831316,0.7280343058715035,-0.1501759682292667,4.053648716822369,0.2643943770160413,0.3138193104399542,1.0612251888871396,0.0774003748902146,0.7315012996896982,26.82498184087241,0.7148535858062451,2.028499956724118,173.09291357057668,0.9932628988790472,2.643970200804884,398.68258669396255,0.3635499936705295,6.230032182996503,240.69022421538097,1.2647487640544597,1.5116799452362406,0.1439184673639551
24,24,24,0.2697481328020822,0.614184870091423,0.7720996760516037,0.9532216705398632,0.7032237604328779,-0.0065328514937064,4.303891429889074,0.2084456137438479,0.2688511631416787,2.9964131635577846,0.0920849201965352,0.7139994525098504,5.145389405881135,1.2494630290592923,4.033209492273705,289.8263091237827,0.1132402919597324,2.18974109647261,62.68521852981877,1.818935269231304,6.441054342917899,110.06440088117884,1.638742817191786,2.9825190067117084,0.3983749911665973
30,30,30,0.2630811283950163,0.6128563367430242,0.7638787478983489,0.9662170728661624,0.7352888883885529,0.0227203623969791,4.182715852735187,0.3007388589955443,0.3102348755442372,2.52654073943662,0.0660037251663024,0.5764516474067977,51.076414235173104,1.9243691975960453,7.24312276146782,198.9708956063561,0.3295451646458796,0.8975381661718188,154.45790036565697,1.2694781175552496,3.80133457007669,157.61914219184666,0.237028472174167,2.981600814091715,0.0910842487464185
