,index,Unnamed: 0,ED,NSE,logNSE,NSEfdc,NSErunoff,Temp_Thresh,Meltfactor,Mm,Ratio_Pref,Kf,Ks,Ce,Soilstoragecapacity_Bare,beta_Bare,Interceptioncapacity_Forest,Soilstoragecapacity_Forest,beta_Forest,Interceptioncapacity_Grass,Soilstoragecapacity_Grass,beta_Grass,Interceptioncapacity_Rip,Soilstoragecapacity_Rip,beta_Rip,Kf_Rip,Ratio_Riparian
1,1,1,0.3350408238657186,0.6139395516911623,0.755226677876096,0.9046731660141968,0.5194112356944578,-0.5870715999563259,4.143667279585992,0.4262779409491704,0.2647688966065754,2.8405587503928102,0.0667812290519025,0.7638379179820753,13.817655745499264,0.8188755464745366,8.373355132458975,643.3097469318443,1.9990040254486077,4.9956927595140215,164.96990015838762,1.7473244551367095,1.233662626039055,357.26942476367805,1.1997375588839223,0.5515884281853097,0.1287634462577753
2,2,2,0.3042853981329213,0.6112584324133252,0.7622134178887766,0.9095516251949808,0.6069159879098494,-0.604464465974607,4.073651074205625,0.6497355459885086,0.2239628251548235,2.620535980418251,0.0999999608554552,0.6310326231792149,70.9485130650489,0.459245753832319,9.953546943387655,447.4678820991075,0.9083628875405224,3.294829878222354,129.7170350751167,1.919478805336582,3.734393155244385,82.8262337622535,0.2329089426929844,0.8579276691332807,0.3281153825530467
3,3,3,0.3761164131536645,0.6154998483839041,0.7467695235860262,0.9086576912747224,0.4121694403712923,-0.6069295329139592,4.318480601237447,0.4060535520080334,0.2931767788796843,1.129041737186355,0.0954106147208079,0.483548032675033,35.57164660633682,1.9575016005401644,9.230127522671816,120.4606912358592,0.7645884611525575,0.1691886918216243,270.7831495614189,1.187445486919104,6.524582486566382,69.03971689521049,0.9536116594955208,0.9590456720579084,0.285422184959765
7,7,7,0.3682480313385682,0.6093447965447215,0.7461066307825417,0.910535171199844,0.436662477880795,-0.7905412371671448,4.225374719947685,0.4720838778420983,0.287512754213228,1.479026206614385,0.0933889263053998,0.6512315219285302,73.29547508274854,1.7980657004944471,1.7161843589756054,744.4203938411175,1.3770214417905846,3.633284305084552,230.1518171276788,0.7311765000761599,5.875758803278676,277.88630398111854,1.9940040624481712,0.6158891455598418,0.139134266166695
9,9,9,0.3237593253556173,0.609268188683924,0.7477459638298913,0.9095523218977288,0.5586428051947564,-0.6206754866096322,4.19428510510847,0.4263949119430923,0.2536736398393601,2.407779637877478,0.0992453223569612,0.6856850400926076,11.494488774867868,0.7486343517322919,6.507632023795316,738.7800511941084,0.2898136831732731,4.862020888705489,226.09789233112156,1.4707687864170007,5.656397425487935,64.72146395490203,1.956948217637493,0.9617728822242596,0.3407572493755252
10,10,10,0.3952185544753185,0.6144723758587372,0.741072744184033,0.9011740036687456,0.3680590432049982,-0.5993190212196684,4.476946518957631,0.1500801378589634,0.2616341118017365,2.6866494297716814,0.0852664582182495,0.6153887275094441,27.090160710217177,0.8660115629202988,9.096641528110403,446.0052619719488,0.1817930720181941,3.293406331520244,65.52761632380587,1.4426496754925382,1.9330866813403844,50.00021754291165,1.563473480385742,2.251260019563276,0.1600838499764932
13,13,13,0.3002472399695089,0.6177635893621715,0.7647776811209712,0.9319876199708468,0.6068922238318308,-0.5902858400955262,4.206164361686453,0.1241424776653088,0.2978882418334554,1.8782095744949137,0.0886805101438133,0.4365390351205034,54.40678202092074,0.6373051513174193,9.635190863669912,619.6252778985848,1.9500509971054656,0.7451591405164131,316.8012610128822,0.2835695425352375,5.685845435525471,259.666164225152,1.4399911964290475,2.7142712898843224,0.3017182613938788
15,15,15,0.3552181309742505,0.6143650135193381,0.7549444710178729,0.919572649823494,0.4619622982055119,-0.5992385788169701,4.324937374909753,0.361037494023397,0.2746725782742477,2.7904780492261096,0.0984328742107472,0.5843210637301299,6.617428735532103,0.3982740066601453,3.946235931296656,480.6625944909321,1.717335791907214,1.776512006329776,120.89793164968243,0.3073799843464028,3.893483746581621,34.03581514127342,1.6712956942514448,0.7362234947053099,0.23582123603165
19,19,19,0.3424274698152263,0.6137058322492815,0.7564966857169528,0.9218786869328492,0.495612945570719,-0.622798328591635,4.266027021859655,0.700134542194413,0.2803747814290583,2.170700469413086,0.08552104504496,0.4927831005663551,25.6827751348142,0.4510481001521219,8.081238748401015,659.3967779564695,1.5657600552140087,2.1529548947736683,282.75193339305974,1.4671178185503695,1.6796986644475749,104.29136071768158,1.6484032618695157,1.0957562522065312,0.1157937077652687
20,20,20,0.3282191327853376,0.6164439247930724,0.7550038482218491,0.9166827802057212,0.5343487784006756,-0.5960050213201882,4.151146373201195,0.34756423916868,0.2924492237569607,2.3025251698552194,0.069629080256842,0.4357165242060356,14.398619869239493,0.5576971773755783,8.649065474252566,177.86068525743912,1.0613434423803525,0.4629187233729517,185.8424867620502,1.953399279683036,1.8624748975301733,223.30675809140945,0.4651378608246537,2.4597535912338606,0.1305616010705181
22,22,22,0.2873164233172436,0.614182091184402,0.7657338703352441,0.930167116038433,0.6513021386960922,-0.1528630979427325,4.208270865243579,0.9879806119522864,0.2799303605221742,1.310480164256111,0.0763635027637487,0.7857920196136303,73.85360583025994,1.6927562638800673,6.5595210657869165,136.75248646012366,0.98168628363409,1.500881160156947,233.0379592625088,0.1407505275494926,4.710428474401022,361.0491257217938,0.339993116906732,0.1012210990027732,0.2466061203788856
23,23,23,0.3246423314602391,0.6162655105482943,0.7611613027658053,0.9263251470365684,0.5397321346723332,-0.6029031929185311,4.143101423069361,0.1300124031548314,0.3087479187119483,0.8926585402667759,0.095180119984136,0.4842972927236994,45.702959370844944,0.8944798275694362,1.3073943630794598,509.3818232144387,1.9144877699412688,1.3991707360393006,77.33395176633886,1.8611956108470065,3.837730230408081,338.6369777035922,1.930063549731016,2.752113568919725,0.3053418105749776
25,25,25,0.2804945019340528,0.6138998834271887,0.768221442330254,0.9451813166303044,0.6699864023990281,-0.1731363667679495,4.240095333261946,0.0845652602211643,0.2692414587966343,2.906942943231523,0.0886769826831958,0.7170853240285223,41.96107136673704,0.2333241381994145,1.754862037111863,172.05442838161008,0.5469232233973855,3.4218249592586685,217.93515886611863,0.7526008243350402,1.692886832224792,205.51184497126016,1.4682708523042285,2.2594648017193117,0.3852470982432704
27,27,27,0.3331494460097891,0.6158314374319744,0.7607952399592468,0.912223033009546,0.5189126733318192,-0.5898996742719402,4.241539761329621,0.0396693122695009,0.2609063621320016,1.8156163314514568,0.0782009024403796,0.7626977662557841,67.51345797769687,0.4061568583898428,8.073352539519014,574.7543537443008,1.6583585829866532,0.9264626548041924,210.989351569884,0.1594838187042776,7.221795706712235,121.69227594374232,1.987505230564291,0.2091435409022443,0.170666914030556
29,29,29,0.2798500508592501,0.6171364271220219,0.7705488717351094,0.9522248090288588,0.6657106054741665,0.0187949263531588,4.294618209944416,0.8823139586812163,0.3790596581505335,0.6892676989529021,0.0693075500420844,0.6231526653739471,65.44428860075212,1.82075500895164,5.512799651944147,147.36861155068615,1.4468523821145345,1.0748921086350107,132.72871366312023,0.6981467196692142,1.654183739521197,28.026893660818143,1.443476205511624,0.7424942967889636,0.2446327937566214
31,31,31,0.3326798875335242,0.614170749538723,0.7600635171748751,0.9240567991901448,0.5198932053948568,-0.5879526273282145,4.286994786864196,0.5732493077753117,0.2663334509272107,1.1560988487110644,0.0900128574048011,0.6274042922685095,70.76658781615969,0.5429998008810952,5.580497002832962,722.9765431220671,1.11987938745512,3.118115343292007,369.84063415430205,1.778949904827669,4.582051731322516,230.8606040074828,1.9337540087422684,1.2298485649105595,0.1974116552549449
33,33,33,0.3053668080879935,0.6158614015270163,0.7594578831638091,0.9092775272087608,0.6008233347886969,-0.5862363559990833,3.993373202168412,0.2535811446769591,0.2651211771472387,1.250178396275905,0.0822142533077369,0.5794819363605822,19.91401490299747,1.6914569513685238,9.20236819415285,150.50776463834706,1.6938166946287472,0.5142707712511434,211.78183546422997,0.9374488695709388,2.3013444084926986,370.9208877603783,1.9785073551406973,1.1954110526523944,0.2821457934054264
