,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
0,0.48847830688875465,0.19649470706810113,0.4982832660078742,0.7968218760009883,0.8742127264205255,0.709,0.757,0.0,3.883,0.234,2.536,0.0445,0.441,1200.27,-1.303
1,0.5434591803034525,0.1117117597299937,0.4406947865875539,0.7180707990455826,0.9946028969548697,1.2,0.407,0.0,1.15,0.835,1.113,0.7024,0.311,3290.74,-0.294
2,0.6174619303726269,0.024616990796810678,0.3013997509242302,0.7074112105271118,0.996202703362063,1.549,0.462,0.0,2.698,0.962,1.13,0.1975,0.248,3163.58,-1.344
3,0.5107712429582419,0.1474757519720752,0.5151197238327925,0.7162503614709027,0.9664036091898179,1.11,0.686,0.0,4.706,0.964,1.287,0.8863,0.136,1244.91,-0.146
4,0.4140615162950026,0.33647332609110114,0.5372456404205355,0.9215224582170479,0.8411926064587507,0.148,0.489,0.0,1.241,0.733,3.784,0.4075,0.559,1688.8,-0.408
5,0.45418864708784384,0.2675402524261702,0.5352169095780663,0.7313128655591384,0.979121077570424,1.917,0.408,0.0,2.492,0.75,3.095,0.5518,0.335,1015.24,-0.226
6,0.5081172703946256,0.17764202571132326,0.46886985580011753,0.7426755721139897,0.9097508296308819,1.718,0.742,0.0,1.024,0.274,2.201,0.2872,0.228,757.39,-1.384
7,0.317605306665764,0.4757352517539569,0.6600909884024203,0.8876565669194048,0.9780953449250789,0.454,0.647,0.0,2.099,0.243,4.401,0.5951,0.63,4116.51,0.958
8,0.4558747458369299,0.370054460583481,0.40138269358940104,0.7322714253436874,0.933408080708009,1.245,0.556,0.0,2.341,0.569,2.931,0.9618,0.695,4492.94,0.862
9,0.3190494933629995,0.4375020577452743,0.7209567662838714,0.8931109330089614,0.9615814771890282,1.555,0.625,0.0,1.366,0.351,4.121,0.0298,0.426,4258.77,0.813
10,0.43491405762132607,0.27649501100639995,0.5438556654682155,0.8814111181168895,0.895069050627451,0.833,0.481,0.0,4.732,0.831,3.361,0.5143,0.515,5483.37,-0.603
11,0.5051583666243883,0.20156600470785346,0.4702507657973173,0.8748098578304624,0.7051504895551934,0.75,0.445,0.0,2.395,0.527,3.295,0.6893,0.682,4286.39,-1.776
