DATE,Tmax,Tmin,prec,T,Discharge,ETP
2001-08-01,26.2,14.9,0.0,20.55,0.0929,4.002
2001-08-02,28.3,16.5,1.0,22.4,0.09086,4.2
2001-08-03,23.3,16.1,1.5,19.700000000000003,0.10281,3.8
2001-08-04,20.8,13.0,1.7,16.9,0.10328,3.0
2001-08-05,21.0,10.6,4.9,15.8,0.10178,2.9
2001-08-06,19.6,13.8,7.4,16.700000000000003,0.11368,3.0
2001-08-07,19.8,14.4,11.7,17.1,0.13945,3.0
2001-08-08,19.4,13.1,13.5,16.25,0.60147,2.9
2001-08-09,19.8,11.2,1.0,15.5,0.28755,2.802
2001-08-10,18.8,9.9,2.3,14.350000000000001,0.16004,2.398
2001-08-11,19.8,7.5,0.1,13.65,0.1348,2.5
2001-08-12,22.8,10.0,0.0,16.4,0.1184,2.9
2001-08-13,25.9,14.3,0.0,20.1,0.10944,3.5
2001-08-14,29.3,15.5,0.1,22.4,0.10944,4.1
2001-08-15,29.9,18.4,0.0,24.15,0.10944,4.2
2001-08-16,22.6,14.7,2.1,18.65,0.10919,3.3
2001-08-17,23.1,13.8,0.0,18.450000000000003,0.11227,3.102
2001-08-18,26.2,16.1,0.0,21.15,0.10944,3.6
2001-08-19,23.3,15.2,4.6,19.25,0.11328,3.102
2001-08-20,23.5,14.4,0.8,18.95,0.0971,3.102
2001-08-21,25.6,15.6,0.0,20.6,0.0893,3.398
2001-08-22,28.0,16.0,0.0,22.0,0.08508,3.5
2001-08-23,27.6,17.4,0.0,22.5,0.08061,3.6
2001-08-24,29.5,18.1,0.0,23.8,0.07922,3.902
2001-08-25,31.7,16.9,0.0,24.299999999999997,0.07448,3.998
2001-08-26,31.5,19.1,0.1,25.3,0.07399,3.998
2001-08-27,23.1,13.3,0.0,18.200000000000003,0.07362,3.0
2001-08-28,22.9,11.2,0.0,17.049999999999997,0.07022,2.602
2001-08-29,23.9,11.0,0.0,17.45,0.06894,2.602
2001-08-30,20.4,11.5,0.5,15.95,0.06825,2.2
2001-08-31,16.8,10.3,2.5,13.55,0.08535,2.102
2001-09-01,18.2,9.0,0.2,13.6,0.09247,2.0
2001-09-02,18.1,9.2,0.4,13.65,0.07879,2.0
2001-09-03,20.2,13.1,4.5,16.65,0.08304,2.298
2001-09-04,13.4,10.3,3.8,11.850000000000001,0.11827,1.8
2001-09-05,14.6,8.7,1.2,11.649999999999999,0.09691,1.8
2001-09-06,13.1,8.1,10.4,10.6,0.25591,1.702
2001-09-07,14.7,9.3,0.1,12.0,0.16289,1.8
2001-09-08,15.5,7.0,2.7,11.25,0.11378,1.9
2001-09-09,12.2,6.5,1.8,9.35,0.10116,1.402
2001-09-10,12.9,7.4,2.0,10.15,0.09798,1.502
2001-09-11,14.0,7.3,0.5,10.65,0.0895,1.502
2001-09-12,15.9,10.0,0.4,12.95,0.09018,1.8
2001-09-13,13.2,9.1,4.8,11.149999999999999,0.0976,1.7
2001-09-14,15.7,8.5,1.3,12.1,0.10877,1.6
2001-09-15,11.8,7.0,2.4,9.4,0.09785,1.402
2001-09-16,12.3,7.2,9.9,9.75,0.21971,1.402
2001-09-17,12.7,6.1,2.0,9.399999999999999,0.15549,1.402
2001-09-18,11.4,7.4,0.0,9.4,0.11601,1.402
2001-09-19,11.5,7.4,21.3,9.45,0.27697,1.402
2001-09-20,13.5,9.4,1.3,11.45,1.31489,1.502
2001-09-21,14.4,6.9,0.6,10.65,0.60337,1.402
2001-09-22,15.9,6.1,0.0,11.0,0.38874,1.302
2001-09-23,16.1,6.1,0.0,11.100000000000001,0.26562,1.302
2001-09-24,17.8,6.4,0.1,12.100000000000001,0.20763,1.402
2001-09-25,13.5,7.4,7.7,10.45,0.17173,1.302
2001-09-26,16.1,6.4,3.7,11.25,0.17093,1.302
2001-09-27,17.7,9.5,2.4,13.6,0.22797,1.6
2001-09-28,18.4,8.5,0.0,13.45,0.15642,1.502
2001-09-29,15.0,10.4,1.1,12.7,0.13944,1.502
2001-09-30,18.6,12.4,1.0,15.5,0.14762,1.7
2001-10-01,16.8,12.5,7.3,14.65,0.27952,1.7
2001-10-02,23.9,15.5,0.0,19.7,0.42356,2.098
2001-10-03,17.5,12.0,23.0,14.75,1.75387,1.6
2001-10-04,14.2,8.5,0.0,11.35,1.66805,1.302
2001-10-05,16.9,7.4,0.0,12.149999999999999,1.08311,1.302
2001-10-06,19.5,12.5,7.4,16.0,0.71603,1.7
2001-10-07,16.8,12.4,5.8,14.600000000000001,1.30445,1.502
2001-10-08,13.9,8.8,1.7,11.350000000000001,0.94491,1.302
2001-10-09,15.7,8.1,0.1,11.899999999999999,0.7734,1.202
2001-10-10,17.1,6.8,0.0,11.950000000000001,0.57386,1.2
2001-10-11,17.7,7.2,0.0,12.45,0.44414,1.2
2001-10-12,18.7,7.7,0.1,13.2,0.36695,1.3
2001-10-13,21.1,10.7,0.0,15.9,0.28165,1.5
2001-10-14,16.1,11.6,0.8,13.850000000000001,0.23748,1.3
2001-10-15,18.9,10.8,1.7,14.85,0.23039,1.4
2001-10-16,18.3,9.9,0.0,14.100000000000001,0.19698,1.2
2001-10-17,14.5,10.5,0.0,12.5,0.17834,1.2
2001-10-18,17.9,9.8,1.9,13.85,0.16717,1.3
2001-10-19,20.4,11.8,0.9,16.1,0.18711,1.4
2001-10-20,14.8,9.1,0.2,11.95,0.16006,1.2
2001-10-21,12.8,9.6,0.6,11.2,0.15816,1.104
2001-10-22,14.6,9.1,0.0,11.85,0.14881,1.104
2001-10-23,11.8,8.4,7.9,10.100000000000001,0.15113,1.002
2001-10-24,13.0,9.8,2.7,11.4,0.2215,1.002
2001-10-25,14.3,9.8,4.7,12.05,0.24139,1.104
